STT,ID_ho so,Trinh do hoc van,Tinh trang cong viec,N_Cong ty ung tuyen,Truong top dao tao,Du an tham gia,Ket qua tuyen dung
482,1150,Cao dang,dang lam,3,No,No,Yes
483,1151,trung tam tin hoc,dang tim viec,6,Yes,Yes,No
484,1152,Dai hoc,dang tim viec,2,No,Yes,Yes
485,1153,trung tam tin hoc,dang tim viec,4,No,Yes,Yes
486,1154,Cao dang,dang lam,5,No,No,No
487,1155,Cao dang,dang tim viec,5,Yes,No,Yes
488,1156,trung tam tin hoc,dang tim viec,0,No,Yes,Yes
489,1157,Dai hoc,dang lam,2,No,No,No
490,1158,Cao dang,dang lam,6,No,No,No
491,1159,Cao dang,dang tim viec,6,No,Yes,Yes
492,1160,Dai hoc,dang lam,4,Yes,No,Yes
493,1161,Dai hoc,dang lam,4,No,No,No
494,1162,Cao dang,dang tim viec,0,No,Yes,Yes
495,1163,Cao dang,dang lam,3,No,No,No
496,1164,trung tam tin hoc,dang tim viec,6,No,Yes,Yes
497,1165,trung tam tin hoc,dang lam,3,No,No,Yes
498,1166,trung tam tin hoc,dang tim viec,3,Yes,Yes,Yes
499,1167,Cao dang,dang tim viec,2,No,No,No
500,1168,Dai hoc,dang tim viec,1,Yes,No,Yes
501,1169,trung tam tin hoc,dang tim viec,5,Yes,No,Yes
502,1170,trung tam tin hoc,dang tim viec,6,Yes,Yes,Yes
503,1171,Cao dang,dang lam,1,No,No,No
504,1172,Dai hoc,dang lam,0,No,Yes,Yes
505,1173,Cao dang,dang tim viec,5,No,Yes,Yes
506,1174,Cao dang,dang tim viec,5,No,No,No
507,1175,Dai hoc,dang lam,3,Yes,No,Yes
508,1176,Cao dang,dang tim viec,0,No,Yes,Yes
509,1177,Dai hoc,dang lam,6,No,No,No
510,1178,trung tam tin hoc,dang tim viec,0,No,No,No
511,1179,Cao dang,dang tim viec,4,No,Yes,Yes
512,1180,trung tam tin hoc,dang lam,1,Yes,No,Yes
513,1181,Dai hoc,dang tim viec,0,Yes,Yes,Yes
514,1182,Cao dang,dang lam,4,No,No,No
515,1183,Cao dang,dang tim viec,3,Yes,No,Yes
516,1184,Dai hoc,dang tim viec,4,Yes,No,Yes
517,1185,Dai hoc,dang lam,1,Yes,Yes,Yes
518,1186,Cao dang,dang lam,6,No,No,No
519,1187,Cao dang,dang tim viec,5,No,Yes,Yes
520,1188,trung tam tin hoc,dang lam,6,No,Yes,Yes
521,1189,Cao dang,dang tim viec,3,No,No,No
522,1190,trung tam tin hoc,dang lam,1,Yes,No,Yes
